"","Date","box","Team","R","RA"
"373","Friday, May 8","boxscore","CLE",3,9
"374","Saturday, May 9","boxscore","CLE",4,7
"375","Sunday, May 10","boxscore","CLE",8,2
"376","Tuesday, May 12","boxscore","CLE",3,8
"377","Wednesday, May 13","boxscore","CLE",2,0
"378","Thursday, May 14","boxscore","CLE",1,2
"379","Friday, May 15","boxscore","CLE",8,3
"380","Saturday, May 16","boxscore","CLE",10,8
"381","Sunday, May 17","boxscore","CLE",1,5
"382","Monday, May 18","boxscore","CLE",1,2
"383","Tuesday, May 19","boxscore","CLE",3,1
"384","Wednesday, May 20","boxscore","CLE",4,3
"385","Thursday, May 21","boxscore","CLE",5,2
"386","Friday, May 22","boxscore","CLE",7,3
"387","Saturday, May 23","boxscore","CLE",2,1
"388","Sunday, May 24","boxscore","CLE",5,2
"389","Monday, May 25","boxscore","CLE",8,10
"390","Tuesday, May 26","boxscore","CLE",3,4
"391","Wednesday, May 27","boxscore","CLE",12,3
"392","Thursday, May 28","boxscore","CLE",5,3
"393","Friday, May 29","boxscore","CLE",1,2
"394","Saturday, May 30","boxscore","CLE",4,3
"395","Sunday, May 31","boxscore","CLE",6,3
"396","Monday, Apr 6","boxscore","COL",10,0
"397","Tuesday, Apr 7","boxscore","COL",5,2
"398","Wednesday, Apr 8","boxscore","COL",5,4
"399","Friday, Apr 10","boxscore","COL",5,1
"400","Saturday, Apr 11","boxscore","COL",5,9
"401","Sunday, Apr 12","boxscore","COL",5,6
"402","Monday, Apr 13","boxscore","COL",2,0
"403","Tuesday, Apr 14","boxscore","COL",4,1
"404","Wednesday, Apr 15","boxscore","COL",4,2
"405","Friday, Apr 17","boxscore","COL",3,7
"406","Saturday, Apr 18","boxscore","COL",3,6
"407","Sunday, Apr 19","boxscore","COL",0,7
"408","Monday, Apr 20","boxscore","COL",3,14
"409","Tuesday, Apr 21","boxscore","COL",6,7
"410","Wednesday, Apr 22","boxscore","COL",5,4
"411","Thursday, Apr 23","boxscore","COL",2,1
"412","Friday, Apr 24","boxscore","COL",6,4
"413","Saturday, Apr 25","boxscore","COL",4,5
"414","Monday, Apr 27","boxscore","COL",5,4
"415","Tuesday, Apr 28","boxscore","COL",5,12
"416","Wednesday, Apr 29","boxscore","COL",1,9
"417","Friday, May 1","boxscore","COL",3,14
"418","Saturday, May 2","boxscore","COL",2,4
"419","Sunday, May 3","boxscore","COL",6,8
"420","Wednesday, May 6 (1)","boxscore","COL",7,13
"421","Wednesday, May 6 (2)","boxscore","COL",1,5
"422","Friday, May 8","boxscore","COL",1,2
"423","Sunday, May 10","boxscore","COL",5,9
"424","Tuesday, May 12","boxscore","COL",2,5
"425","Wednesday, May 13","boxscore","COL",1,2
"426","Thursday, May 14","boxscore","COL",5,4
"427","Friday, May 15","boxscore","COL",4,6
"428","Saturday, May 16","boxscore","COL",7,1
"429","Sunday, May 17","boxscore","COL",0,1
"430","Monday, May 18","boxscore","COL",3,4
"431","Tuesday, May 19","boxscore","COL",6,5
"432","Wednesday, May 20","boxscore","COL",2,4
"433","Thursday, May 21","boxscore","COL",7,3
"434","Friday, May 22","boxscore","COL",8,11
"435","Saturday, May 23 (1)","boxscore","COL",8,10
"436","Saturday, May 23 (2)","boxscore","COL",5,3
"437","Sunday, May 24","boxscore","COL",11,2
"438","Monday, May 25","boxscore","COL",5,4
"439","Tuesday, May 26","boxscore","COL",1,2
"440","Wednesday, May 27","boxscore","COL",6,4
"441","Friday, May 29","boxscore","COL",4,1
"442","Saturday, May 30","boxscore","COL",5,2
"443","Sunday, May 31","boxscore","COL",4,1
"444","Monday, Apr 6","boxscore","DET",4,0
"445","Wednesday, Apr 8","boxscore","DET",11,0
"446","Thursday, Apr 9","boxscore","DET",7,1
"447","Friday, Apr 10","boxscore","DET",8,4
"448","Saturday, Apr 11","boxscore","DET",9,6
"449","Sunday, Apr 12","boxscore","DET",8,5
"450","Monday, Apr 13","boxscore","DET",4,5
"451","Tuesday, Apr 14","boxscore","DET",2,0
"452","Wednesday, Apr 15","boxscore","DET",1,0
"453","Friday, Apr 17","boxscore","DET",2,1
"454","Saturday, Apr 18","boxscore","DET",3,12
"455","Sunday, Apr 19","boxscore","DET",9,1
"456","Monday, Apr 20","boxscore","DET",2,1
"457","Tuesday, Apr 21","boxscore","DET",2,5
"458","Wednesday, Apr 22","boxscore","DET",4,13
"459","Thursday, Apr 23","boxscore","DET",1,2
"460","Friday, Apr 24","boxscore","DET",1,13
"461","Saturday, Apr 25","boxscore","DET",4,1
"462","Sunday, Apr 26","boxscore","DET",8,6
"463","Monday, Apr 27","boxscore","DET",5,4
"464","Tuesday, Apr 28","boxscore","DET",2,3
"465","Wednesday, Apr 29","boxscore","DET",10,7
"466","Thursday, Apr 30","boxscore","DET",1,8
"467","Friday, May 1","boxscore","DET",1,4
"468","Saturday, May 2","boxscore","DET",2,1
"469","Sunday, May 3","boxscore","DET",6,4
"470","Tuesday, May 5","boxscore","DET",2,5
"471","Wednesday, May 6","boxscore","DET",6,7
"472","Thursday, May 7","boxscore","DET",4,1
"473","Friday, May 8","boxscore","DET",6,5
"474","Saturday, May 9","boxscore","DET",2,6
"475","Sunday, May 10","boxscore","DET",1,2
"476","Tuesday, May 12","boxscore","DET",2,1
"477","Wednesday, May 13","boxscore","DET",2,6
"478","Thursday, May 14","boxscore","DET",13,1
"479","Friday, May 15","boxscore","DET",10,4
"480","Saturday, May 16","boxscore","DET",4,3
"481","Sunday, May 17","boxscore","DET",1,2
"482","Monday, May 18","boxscore","DET",2,3
"483","Tuesday, May 19","boxscore","DET",1,8
"484","Wednesday, May 20","boxscore","DET",5,2
"485","Thursday, May 21","boxscore","DET",6,5
"486","Friday, May 22","boxscore","DET",6,2
"487","Saturday, May 23","boxscore","DET",2,3
"488","Sunday, May 24","boxscore","DET",8,10
"489","Monday, May 25","boxscore","DET",0,4
"490","Tuesday, May 26","boxscore","DET",1,0
"491","Wednesday, May 27","boxscore","DET",3,2
"492","Thursday, May 28","boxscore","DET",2,12
"493","Friday, May 29","boxscore","DET",0,2
"494","Saturday, May 30","boxscore","DET",6,8
"495","Sunday, May 31","boxscore","DET",2,4
"496","Monday, Apr 6","boxscore","HOU",2,0
"497","Wednesday, Apr 8","boxscore","HOU",0,2
"498","Thursday, Apr 9","boxscore","HOU",1,5
"499","Friday, Apr 10","boxscore","HOU",5,1
"500","Saturday, Apr 11","boxscore","HOU",2,6
"501","Sunday, Apr 12","boxscore","HOU",6,4
"502","Monday, Apr 13","boxscore","HOU",1,8
"503","Tuesday, Apr 14","boxscore","HOU",0,4
"504","Wednesday, Apr 15","boxscore","HOU",6,1
"505","Friday, Apr 17","boxscore","HOU",3,6
"506","Saturday, Apr 18","boxscore","HOU",4,0
"507","Sunday, Apr 19","boxscore","HOU",4,3
"508","Monday, Apr 20","boxscore","HOU",7,5
"509","Tuesday, Apr 21","boxscore","HOU",6,3
"510","Wednesday, Apr 22","boxscore","HOU",2,3
"511","Friday, Apr 24","boxscore","HOU",5,4
"512","Saturday, Apr 25","boxscore","HOU",9,3
"513","Sunday, Apr 26","boxscore","HOU",7,6
"514","Monday, Apr 27","boxscore","HOU",9,4
"515","Tuesday, Apr 28","boxscore","HOU",14,3
"516","Wednesday, Apr 29","boxscore","HOU",7,2
"517","Thursday, Apr 30","boxscore","HOU",3,2
"518","Friday, May 1","boxscore","HOU",4,3
"519","Saturday, May 2","boxscore","HOU",11,4
"520","Sunday, May 3","boxscore","HOU",7,6
"521","Monday, May 4","boxscore","HOU",1,2
"522","Tuesday, May 5","boxscore","HOU",1,7
"523","Wednesday, May 6","boxscore","HOU",3,11
"524","Thursday, May 7","boxscore","HOU",3,2
"525","Friday, May 8","boxscore","HOU",0,2
"526","Saturday, May 9","boxscore","HOU",6,5
"527","Sunday, May 10","boxscore","HOU",1,3
"528","Tuesday, May 12","boxscore","HOU",1,8
"529","Wednesday, May 13","boxscore","HOU",4,3
"530","Thursday, May 14","boxscore","HOU",6,4
"531","Friday, May 15","boxscore","HOU",8,4
"532","Saturday, May 16","boxscore","HOU",6,5
"533","Sunday, May 17","boxscore","HOU",4,2
"534","Monday, May 18","boxscore","HOU",1,2
"535","Tuesday, May 19","boxscore","HOU",6,4
"536","Wednesday, May 20","boxscore","HOU",6,1
"537","Thursday, May 21","boxscore","HOU",5,6
"538","Friday, May 22","boxscore","HOU",2,6
"539","Saturday, May 23","boxscore","HOU",3,2
